20
OG0000016_5 -3.95026177571122 -6.64385618977472 -0.177821252827647 -2.56942812106839 -2.53602553583561 1.51917849420476 -4.36582113214544 -6.64385618977472 -2.84441081868158 -4.78878121708542 -3.76395579781797 -4.18004257935686 -4.44747319339705 -4.87592869287885 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -4.55479717277477 -6.64385618977472 -6.64385618977472 -3.37847796445887 -4.69174300102359 -6.64385618977472 -5.18911877660957 -6.64385618977472 -6.64385618977472
OG0000026_1 -3.44161907156168 -3.14237786901679 -4.00133428364889 -0.7011752380131 -3.21825941601465 -3.46917862583611 -0.288883074825318 -1.55991873913439 -0.0951406707501031 -0.859895488368508 0.4869379906488 0.942670448542889 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -3.8913606758302 -3.94129898837511 -6.64385618977472 -3.17050667796806 -3.28283877351342
OG0000052_3 5.53188134845237 4.88545665874336 5.34248575618001 3.77417795360553 6.84333111830163 6.77706087601835 6.67370930156679 6.52686021261108 3.57544762898569 4.16240180138324 4.2543693712335 6.20109452706213 4.33684043053025 4.56495766333556 5.10653685373164 4.33596852833625 3.99487773671961 3.50811749559901 3.4025545952703 3.7375463246926 4.73204777496321 4.4404048833483 4.17155297440926 5.03889481979956 4.65503859398713 4.847312370507 4.75335898683385
OG0000053_1 1.04331786042262 1.99466783939384 6.76166544411145 4.84842245388457 2.24212157099971 -0.777072364787397 2.13723883483886 2.11722557088793 4.46750564274621 4.20602567552516 4.75639980817035 4.27363585615468 4.5452981430124 4.2462940944179 4.69648645694146 4.70194983072619 4.27750367781095 5.23277149407488 5.1332230757568 5.53035494220985 3.66614631188228 4.2625902023884 4.63847382195079 3.75382117725466 3.54644407755295 3.81145489760505 3.55251949404032
OG0000053_2 0.531741617748075 0.50703382514093 4.86889999205066 4.26407094671255 1.0996839777566 0.506837979670423 1.73724516975388 1.27079344887011 2.41999585413654 2.49072811746905 2.1293593278176 1.18165308912916 2.97185744956205 2.54687863781874 3.18077337000614 2.88774624076544 1.20026546787033 2.46468615002956 1.73825258549497 1.85885120841351 1.05710186999924 1.79319526319726 1.89572999913467 0.988597023083609 0.964427707777029 1.41429138011727 0.190940163890445
OG0000053_6 1.17145348079502 2.29705083162865 7.23564539848628 5.2203102070715 1.29694703607404 -1.20281486578931 1.7863807472272 0.638861480631962 4.78103869209003 4.49383899614401 4.93275882594232 4.16764159175892 5.07488443153329 5.03239860989802 5.25098598607941 5.44658708622168 4.15873409914922 5.16616258232761 4.82736304612292 5.64008517878092 3.23044824520448 3.88940291442454 4.0944880021853 3.01789552155213 2.56369897259727 3.59159181358741 3.17392058458844
OG0000055_4 -6.64385618977472 -1.12837713100704 -3.35987953272055 -6.64385618977472 -3.37149799661115 -6.64385618977472 -4.80923419047821 -4.54230633493521 -5.3593779033779 -6.64385618977472 -6.64385618977472 -2.50952461602499 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -5.02038576429884 -6.64385618977472 -6.64385618977472 -5.13973631781196 -6.64385618977472 -6.64385618977472 -4.40817195109882
OG0000057_1 -2.21694609974034 -4.49272176697202 0.690513640482487 -2.23997279941546 -0.80327759577743 -4.49287459380184 -2.30394593892522 -4.54230633493521 -1.35651702806997 -1.62537930339776 -1.53972030285587 -3.11540504488199 -2.94961182562102 -3.23479460590357 -4.06611123920095 -3.52488897264715 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472
OG0000057_2 -1.39907129241517 -3.66501289289678 1.55913176953672 -2.05587187301053 -0.946452656843403 -4.16142135688569 -2.30394593892522 -6.64385618977472 -0.847733495049938 -1.16396519833991 -0.298539017390397 -3.11540504488199 -5.51001034053677 -6.64385618977472 -5.47873887418809 -4.96737503244783 -6.64385618977472 -6.64385618977472 -6.64385618977472 -5.00638562499468 -3.27018160536679 -3.89030742427407 -5.10138057185251 -4.16067518025403 -3.02128500150561 -4.15999561230208 -5.13040076592908
OG0000059_3 0.0879069566420239 1.89805767356468 1.22068184315333 -3.60766486919033 5.5569953759677 7.17548483526074 6.15587667843638 3.68158180262472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 0.800680533591556 1.88856326377556 2.69677296107028 2.42770748963236 -4.41058984823659 -2.47661980189159 -4.34941315226325 -6.64385618977472 -4.01091726688889 -6.64385618977472 -4.69174300102359 -2.30162750134346 -2.83053674046019 -1.59259434169371 -1.42774527736621
OG0000064_1 -2.04428634625391 2.08521254907067 -1.56591297190152 -2.45105116686292 -4.22941707565757 -6.64385618977472 -4.02713178478994 -3.43764205112748 -3.61180872280014 -4.00337152972474 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -4.37208406547148 -5.10138057185251 -6.64385618977472 -6.64385618977472 -6.64385618977472 -4.72455609824003
OG0000064_3 -3.44161907156168 -6.64385618977472 -1.97295709074947 1.01927718558222 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -5.31871333346951 0.553069335059034 0.78073592248559 1.42965951981103 -0.783183539349231 1.75966703016951 0.526101292862035 0.634807027430183 -3.02800127457161 -0.780123023932622 1.43805724764838 0.234983095658558 -5.13973631781196 -4.47967062806247 -6.64385618977472 -6.64385618977472
OG0000071_4 3.76564518262937 2.2456272752598 6.05552342817863 1.05972144179791 -0.380922671145273 -3.89207161574867 -1.83901870164738 -0.153992979136683 -2.70280673010173 -1.70522557193837 -3.61597370414125 -1.42919330202727 -0.966741673564775 -1.92910191161993 -1.88401835016845 -2.26754760772191 -1.42355184704014 -1.1903326898478 -0.986458787917584 -1.8869333572036 -4.01091726688889 -2.24447400276724 -2.79680387590968 -1.6339372283121 -1.83719530806558 -1.59259434169371 -2.35481107003662
OG0000077_1 0.069226525269994 -1.07509793658225 -0.504592466674278 -0.05765321800751 -6.64385618977472 -4.16142135688569 -6.64385618977472 -6.64385618977472 -3.8903034467349 -4.78878121708542 -3.76395579781797 -5.31871333346951 -0.637002614120933 -2.48685245150268 -1.16851160587071 -1.30270571324947 -2.73048817603079 -3.46127842041118 -2.47999806562061 -1.96405790498361 -3.42281235960286 -3.52976922370615 -4.37306459149751 -4.41949743095941 -4.47967062806247 -4.41884694112403 -3.73845611867063
OG0000080_3 -1.29860421969671 -3.66501289289678 0.709916040282565 -0.880873076186396 0.536150365600839 -1.092832975998 -2.30394593892522 -2.05637640151865 -2.01782589563935 -2.74071222513563 -1.64341259812027 -3.31710863507432 -6.64385618977472 -6.64385618977472 -6.64385618977472 -5.57467870107321 -0.386086413944796 0.784761252504001 -0.180722795577734 -1.35839561041886 -0.499837711792695 -2.53333191213419 -3.69988098068976 -5.13973631781196 -6.64385618977472 -6.64385618977472 -5.69715148871471
OG0000081_1 2.96919682777432 3.01759371345814 4.109287108497 3.81904641319468 3.18155932729095 3.85090355780603 4.02986956656454 3.62496922703426 3.06102072588822 2.81617003458573 3.12245039675961 3.25858129675 3.86966134512533 3.89149630249492 3.87006584672823 3.49402217072031 4.107602816389 4.18366274538036 4.06627876692318 3.91089909648989 3.18824983033048 3.01434702892446 3.22569266385871 3.82191310190117 3.97401723627544 3.93098695964491 3.88057488058264
OG0000081_2 -3.95026177571122 -3.66501289289678 -1.11988944764906 1.02949503979564 -0.976875275010397 -2.551361710488 -1.04437713379937 -1.19125666690514 -3.00144159322023 -4.00337152972474 -6.64385618977472 -2.1793135396483 -1.3948921656095 -2.22108690517321 -2.2597903496709 -1.15426601728443 -3.33865377217142 -2.93027926790382 -1.57574230101411 -2.13189988025025 -2.06535908189986 -1.7048183605811 -2.61674513816846 -2.30162750134346 -1.97852406872552 -1.67484865159666 -2.10412902429734
OG0000082_1 1.77171523959342 1.67520010895442 2.37171469141055 2.88199670498703 2.6825868034091 2.73123439824883 2.52596509103059 2.63189573902507 2.35264134496395 3.50505129735225 2.8169781906545 4.85610153674258 0.858847051345826 1.54042441628853 1.38917054293564 1.58889396524027 1.94862036278032 1.33031547697302 1.71841308549984 2.29098652789722 1.68480794749828 1.56016708690112 1.49672857496275 2.21636243504036 2.01455858311983 2.34530887184472 2.45227100233521
OG0000085_4 0.859847533434522 -1.7247526983429 1.7863185894235 1.81178653290421 2.36849872623239 -0.200374404681791 0.0520148459484959 0.23701805608311 1.95600343533663 2.22865469025305 2.09217835499615 0.416740027290188 -3.24394204402354 -4.87592869287885 -6.64385618977472 -3.94537456428402 -0.227607715070955 -0.304275796233714 0.384461535663835 -1.14129727419564 -5.02038576429884 -3.69880492602471 -4.11220071634766 -0.536354892294415 -0.840536151841585 -1.5531614863295 -0.706388714807993
OG0000093_2 1.87212437412452 2.54690649602838 2.61547736178646 2.83907271890559 3.25866230253119 3.5525439939746 3.01937973220036 3.11829898388907 1.16996704933765 0.418248381794096 1.1508488717803 1.00892954574471 0.553069335059034 1.12902415006156 1.27529206253531 1.34875758349364 -0.0623465192866814 -0.234049413008002 0.216815504034037 -0.93311853454649 0.331925221251839 0.719810509945579 0.472296715428762 1.21090453852219 1.37600358817253 1.16520250267157 1.19048172427604
